idMso	Exists in Office Word 2010	Type in Office Word 2010	Label in Office Word 2010	Exists in Office Word 2013	Type in Office Word 2013	Label in Office Word 2013
BibliographyAddNewSource	1	button	Add New Source	1	button	Add New Source
BibliographyGallery	1	gallery	Bibliography	1	gallery	Bibliography
BibliographyInsert	1	button	Insert Bibliography	1	button	Insert Bibliography
BibliographyManageSources	1	button	Manage Sources	1	button	Manage Sources
BibliographyStyle	1	comboBox	Style	1	comboBox	Style
BlankPageInsert	1	button	Blank Page	1	button	Blank Page
BlockAuthorsMenu	0			1	splitButton	Block Authors
BlogCategoryInsert	1	button	Insert Category	1	button	Insert Category
BlogHomePage	1	button	Home Page	1	button	Home Page
BlogInsertCategories	1	button	Insert Category	1	button	Insert Category
BlogManageAccounts	1	button	Manage Accounts	1	button	Manage Accounts
BlogOpenExisting	1	button	Open Existing	1	button	Open Existing
BlogPublish	1	button	Publish	1	button	Publish
BlogPublishDraft	1	button	Publish as Draft	1	button	Publish as Draft
BlogPublishMenu	1	splitButton	Publish	1	splitButton	Publish
BodyTextHide	1	button	Hide Body Text	1	button	Hide Body Text
Bold	1	toggleButton	Bold	1	toggleButton	Bold
BoldRun	1	button	Bold Run	1	button	Bold Run
BookmarkInsert	1	button	Bookmark	1	button	Bookmark
BorderBottomWord	1	toggleButton	Bottom Border	1	toggleButton	Bottom Border
BorderColorPicker	1	gallery	Pen Color	1	gallery	Pen Color
BorderDiagonalDown	1	toggleButton	Diagonal Down Border	1	toggleButton	Diagonal Down Border
BorderDiagonalUp	1	toggleButton	Diagonal Up Border	1	toggleButton	Diagonal Up Border
BorderInside	1	toggleButton	Inside Borders	1	toggleButton	Inside Borders
BorderInsideHorizontal	1	toggleButton	Inside Horizontal Border	1	toggleButton	Inside Horizontal Border
BorderInsideVertical	1	toggleButton	Inside Vertical Border	1	toggleButton	Inside Vertical Border
BorderLeftWord	1	toggleButton	Left Border	1	toggleButton	Left Border
BorderMoreColorsDialog	0			1	button	More Colors
BorderNone	1	toggleButton	No Border	1	toggleButton	No Border
BorderOutside	1	toggleButton	Outside Borders	1	toggleButton	Outside Borders
BorderRightWord	1	toggleButton	Right Border	1	toggleButton	Right Border
BorderStylesGallery	0			1	gallery	Border Styles
BorderTopWord	1	toggleButton	Top Border	1	toggleButton	Top Border
BordersAll	1	toggleButton	All Borders	1	toggleButton	All Borders
BordersSelectionGallery	0			1	gallery	Borders
BordersShadingDialog	1	button	Borders and Shading	1	button	Borders and Shading
BordersShadingDialogWord	1	button	Borders and Shading	1	button	Borders and Shading
BreakInsertDialog	1	button	Break	1	button	Break
BreakParagraphPageBreakBefore	1	button	Para Page Break Before	1	button	Para Page Break Before
BreaksGallery	1	gallery	Breaks	1	gallery	Breaks
BrightnessLess	1	button	Less Brightness	1	button	Less Brightness
BrightnessMore	1	button	More Brightness	1	button	More Brightness
BroadcastEdit	0			1	button	Edit
BroadcastEnd	0			1	button	End Online Presentation
BroadcastNotes	0			1	button	Share Meeting Notes
BroadcastNotesSplitButton	0			1	splitButton	Share Meeting Notes
BroadcastResume	0			1	button	Resume Online Presentation
BroadcastSendInvitation	0			1	button	Send Invitations
BroadcastSlideShowBackstage	0			1	button	Present Online
BroadcastSlideShowGeneric	0			1	button	More Services
BrowseNext	1	button	Next	1	button	Next
BrowsePrevious	1	button	Previous	1	button	Previous
BuildingBlockProperties	1	button	Properties	1	button	Properties
BuildingBlocksOrganizer	1	button	Building Blocks Organizer	1	button	Building Blocks Organizer
BulletDefineNew	1	button	Define New Bullet	1	button	Define New Bullet
BulletListDefault	1	button	Tools Bullet List Default	1	button	Tools Bullet List Default
Bullets	1	toggleButton	Bullets	1	toggleButton	Bullets
BulletsAndNumberingBulletsDialog	1	button	Bullets and Numbering	1	button	Bullets and Numbering
BulletsAndNumberingClassic	1	button	Tools Bullets Numbers	1	button	Tools Bullets Numbers
BulletsGalleryWord	1	gallery	Bullets	1	gallery	Bullets
ButtonCategoryAvailableFileTypes	1	category		0		
ButtonCategoryContactMicrosoft	1	category		0		
ButtonCategoryMicrosoftTools	1	category		0		
ButtonCategoryRecentDocuments	0			1	category	Places
ButtonCategorySend	1	category		0		
ButtonCategorySpecialLocations	1	category		0		
ButtonCategoryWorkflow	1	category		0		
ButtonOpenBrowse	0			1	button	Browse More Files
ButtonTaskClickToRunStatusUpdates	1	task		0		
ButtonTaskContactMicrosoft	1	task		0		
ButtonTaskDynamicServiceProvider	0			1	task	
ButtonTaskOfficeOnline	1	task		0		
ButtonTaskOfficeUpgrade	1	task		0		
ButtonTaskProductUpdates	1	task		0		
ButtonTaskRecentDocuments	0			1	task	
ButtonTaskSaveDocument	1	task		0		
ButtonTaskSaveToGroove	1	task		0		
ButtonTaskSaveToSharePoint	1	task		0		
ButtonTaskSelfSupport	1	task		0		
ButtonTaskSendByIM	1	task		0		
ButtonTaskSendUsingEmail	1	task		0		
ButtonTaskShareApplication	1	task		0		
ButtonTaskStartWorkflow	1	task		0		
ButtonTaskSystemInformation	1	task		0		
ButtonTaskWorkflowsUnavailable	1	task		0		
Calculate	1	button	Tools Calculate	1	button	Tools Calculate
Callout	1	button	Callout	1	button	Callout
CalloutOptions	1	button	Callout Options	1	button	Callout Options
Cancel	1	button	Cancel	1	button	Cancel
CaptionInsert	1	button	Insert Caption	1	button	Insert Caption
CaptionInsertWord	1	button	Insert Add Caption	1	button	Insert Add Caption
CellsDelete	1	button	Delete Cells	1	button	Delete Cells
CellsInsertDialog	1	button	Insert Cells	1	button	Insert Cells
ChangeCase	1	button	Change Case	1	button	Change Case
ChangeCaseDialogClassic	1	button	Change Case	1	button	Change Case
ChangeCaseGallery	1	gallery	Change Case	1	gallery	Change Case
ChangeStylesMenu	1	menu	Change Styles	1	menu	Change Styles
CharacterBorder	1	toggleButton	Character Border	1	toggleButton	Character Border
CharacterCodeToggle	1	button	Toggle Character Code	1	button	Toggle Character Code
CharacterFormattingReset	1	button	Reset Character Formatting	1	button	Reset Character Formatting
CharacterLeft	1	button	Char Left	1	button	Char Left
CharacterLeftExtend	1	button	Char Left Extend	1	button	Char Left Extend
CharacterRight	1	button	Char Right	1	button	Char Right
CharacterRightExtend	1	button	Char Right Extend	1	button	Char Right Extend
CharacterShading	1	toggleButton	Character Shading	1	toggleButton	Character Shading
Chart3DView	1	button	3-D Rotation	1	button	3-D Rotation
ChartAddAxis	1	button	Add Axis	1	button	Add Axis
ChartAxes	1	menu	Axes	1	menu	Axes
ChartAxesGallery	0			1	gallery	Axes
ChartAxesOptionsDialog	0			1	button	More Axis Options
ChartAxesTitlesOptionsDialog	0			1	button	More Axis Title Options
ChartAxisTitles	1	menu	Axis Titles	1	menu	Axis Titles
ChartAxisTitlesGallery	0			1	gallery	Axis Titles
ChartCalloutDataLabelAdd	0			1	button	Add Data Callout
ChartCalloutDataLabelsAdd	0			1	button	Add Data Callouts
ChartChangeDataLabelShapeGallery	0			1	gallery	Change Data Label Shape
ChartChangeDataLabelShapesGallery	0			1	gallery	Change Data Label Shapes
ChartChangeType	1	button	Change Chart Type	1	button	Change Chart Type
ChartColorsGallery	0			1	gallery	Change Colors
ChartDataLabel	1	gallery	Data Labels	1	gallery	Data Labels
ChartDataLabelAdd	1	button	Add Data Label	1	button	Add Data Label
ChartDataLabelDialog	1	button	More Data Label Options	1	button	More Data Label Options
ChartDataLabelsAdd	1	button	Add Data Labels	1	button	Add Data Labels
ChartDataTable	1	gallery	Data Table	1	gallery	Data Table
ChartDataTableOptionsDialog	1	button	More Data Table Options	1	button	More Data Table Options
ChartDebugInto	1	button		0		
ChartDelete	1	button	Delete	1	button	Delete
ChartDeleteSeries	1	button	Delete Series	1	button	Delete Series
ChartDepthAxis	1	gallery	Depth Axis	1	gallery	Depth Axis
ChartDepthAxisOptionsDialog	1	button	More Depth Axis Options	1	button	More Depth Axis Options
ChartDepthAxisTitle	1	gallery	Depth Axis Title	1	gallery	Depth Axis Title
ChartDepthAxisTitleOptionsDialog	1	button	More Depth Axis Title Options	1	button	More Depth Axis Title Options
ChartDepthGridlines	1	gallery	Depth Gridlines	1	gallery	Depth Gridlines
ChartDepthGridlinesOptionsDialog	1	button	More Depth Gridlines Options	1	button	More Depth Gridlines Options
ChartDraftModeToggle	1	toggleButton	Draft	0		
ChartDrawingModeMenu	1	splitButton	Draft	0		
ChartEditDataMenu	0			1	splitButton	Edit Data
ChartEditDataSource	1	button	Select Data	1	button	Select Data
ChartEditText	1	button	Edit Text	1	button	Edit Text
ChartElementSelector	1	comboBox	Chart Elements	1	comboBox	Chart Elements
ChartErrorBars	1	gallery	Error Bars	1	gallery	Error Bars
ChartErrorBarsOptionsDialog	1	button	More Error Bars Options	1	button	More Error Bars Options
ChartExitEditText	1	button	Exit Edit Text	1	button	Exit Edit Text
ChartFloor	1	gallery	Chart Floor	1	gallery	Chart Floor
ChartFloorOptionsDialog	1	button	More Floor Options	1	button	More Floor Options
ChartFormatAxis	1	button	Format Axis	1	button	Format Axis
ChartFormatAxisAndSelect	1	button	Format Axis	1	button	Format Axis
ChartFormatAxisTitle	1	button	Format Axis Title	1	button	Format Axis Title
ChartFormatBackWall	1	button	Format Back Wall	1	button	Format Back Wall
ChartFormatChartArea	1	button	Format Chart Area	1	button	Format Chart Area
ChartFormatChartTitle	1	button	Format Chart Title	1	button	Format Chart Title
ChartFormatDataLabel	1	button	Format Data Label	1	button	Format Data Label
ChartFormatDataLabelAndSelect	1	button	Format Data Label	1	button	Format Data Label
ChartFormatDataLabels	1	button	Format Data Labels	1	button	Format Data Labels
ChartFormatDataLabelsAndSelect	1	button	Format Data Labels	1	button	Format Data Labels
ChartFormatDataPoint	1	button	Format Data Point	1	button	Format Data Point
ChartFormatDataPointAndSelect	1	button	Format Data Point	1	button	Format Data Point
ChartFormatDataSeries	1	button	Format Data Series	1	button	Format Data Series
ChartFormatDataSeriesAndSelect	1	button	Format Data Series	1	button	Format Data Series
ChartFormatDataTable	1	button	Format Data Table	1	button	Format Data Table
ChartFormatDisplayUnit	1	button	Format Display Unit	1	button	Format Display Unit
ChartFormatDownBars	1	button	Format Down Bars	1	button	Format Down Bars
ChartFormatDropLines	1	button	Format Drop Lines	1	button	Format Drop Lines
ChartFormatErrorBars	1	button	Format Error Bars	1	button	Format Error Bars
ChartFormatFloor	1	button	Format Floor	1	button	Format Floor
ChartFormatGridlines	1	button	Format Gridlines	1	button	Format Gridlines
ChartFormatHighLowLine	1	button	Format High-Low Lines	1	button	Format High-Low Lines
ChartFormatLeaderLines	1	button	Format Leader Lines	1	button	Format Leader Lines
ChartFormatLegend	1	button	Format Legend	1	button	Format Legend
ChartFormatLegendEntry	1	button	Format Legend Entry	1	button	Format Legend Entry
ChartFormatMajorGridlinesAndSelect	1	button	Format Major Gridlines	1	button	Format Major Gridlines
ChartFormatMinorGridlinesAndSelect	1	button	Format Minor Gridlines	1	button	Format Minor Gridlines
ChartFormatPlotArea	1	button	Format Plot Area	1	button	Format Plot Area
ChartFormatSelection	1	button	Format Selection	1	button	Format Selection
ChartFormatSeriesLine	1	button	Format Series Lines	1	button	Format Series Lines
ChartFormatSideWall	1	button	Format Side Wall	1	button	Format Side Wall
ChartFormatTrendline	1	button	Format Trendline	1	button	Format Trendline
ChartFormatTrendlineAndSelect	1	button	Format Trendline	1	button	Format Trendline
ChartFormatTrendlineLabel	1	button	Format Trendline Label	1	button	Format Trendline Label
ChartFormatUpBars	1	button	Format Up Bars	1	button	Format Up Bars
ChartFormatWalls	1	button	Format Walls	1	button	Format Walls
ChartGridlineOptionsDialog	0			1	button	More Gridline Options
ChartGridlines	1	menu	Gridlines	1	menu	Gridlines
ChartGridlinesGallery	0			1	gallery	Gridlines
ChartHideSketchModeAlert	1	button	Hide This Alert	0		
ChartInsert	1	button	Chart	1	button	Chart
ChartInsertDataField	0			1	button	Insert Data Label Field
ChartLayoutGallery	1	gallery	Quick Layout	1	gallery	Quick Layout
ChartLegend	1	gallery	Legend	1	gallery	Legend
ChartLegendOptionsDialogDialog	1	button	More Legend Options	1	button	More Legend Options
ChartLines	1	gallery	Lines	1	gallery	Lines
ChartMajorGridlinesAdd	1	button	Add Major Gridlines	1	button	Add Major Gridlines
ChartMinorGridlinesAdd	1	button	Add Minor Gridlines	1	button	Add Minor Gridlines
ChartNormalItem	1	toggleButton	Normal Mode	0		
ChartNormalModeForAll	1	button	Apply Normal Mode to all charts	0		
ChartPlotArea	1	gallery	Plot Area	1	gallery	Plot Area
ChartPlotAreaOptionsDialog	1	button	More Plot Area Options	1	button	More Plot Area Options
ChartPrimaryHorizontalAxis	1	gallery	Primary Horizontal Axis	1	gallery	Primary Horizontal Axis
ChartPrimaryHorizontalAxisOptionsDialog	1	button	More Primary Horizontal Axis Options	1	button	More Primary Horizontal Axis Options
ChartPrimaryHorizontalAxisTitle	1	gallery	Primary Horizontal Axis Title	1	gallery	Primary Horizontal Axis Title
ChartPrimaryHorizontalAxisTitleOptionsDialog	1	button	More Primary Horizontal Axis Title Options	1	button	More Primary Horizontal Axis Title Options
