idMso	Exists in Office Excel 2010	Type in Office Excel 2010	Label in Office Excel 2010	Exists in Office Excel 2013	Type in Office Excel 2013	Label in Office Excel 2013
ChartPlotArea	1	gallery	Plot Area	1	gallery	Plot Area
ChartPlotAreaOptionsDialog	1	button	More Plot Area Options	1	button	More Plot Area Options
ChartPrimaryHorizontalAxis	1	gallery	Primary Horizontal Axis	1	gallery	Primary Horizontal Axis
ChartPrimaryHorizontalAxisOptionsDialog	1	button	More Primary Horizontal Axis Options	1	button	More Primary Horizontal Axis Options
ChartPrimaryHorizontalAxisTitle	1	gallery	Primary Horizontal Axis Title	1	gallery	Primary Horizontal Axis Title
ChartPrimaryHorizontalAxisTitleOptionsDialog	1	button	More Primary Horizontal Axis Title Options	1	button	More Primary Horizontal Axis Title Options
ChartPrimaryHorizontalGridlines	1	gallery	Primary Horizontal Gridlines	1	gallery	Primary Horizontal Gridlines
ChartPrimaryHorizontalGridlinesOptionsDialog	1	button	More Primary Horizontal Gridlines Options	1	button	More Primary Horizontal Gridlines Options
ChartPrimaryVerticalAxis	1	gallery	Primary Vertical Axis	1	gallery	Primary Vertical Axis
ChartPrimaryVerticalAxisOptionsDialog	1	button	More Primary Vertical Axis Options	1	button	More Primary Vertical Axis Options
ChartPrimaryVerticalAxisTitle	1	gallery	Primary Vertical Axis Title	1	gallery	Primary Vertical Axis Title
ChartPrimaryVerticalAxisTitleOptionsDialog	1	button	More Primary Vertical Axis Title Options	1	button	More Primary Vertical Axis Title Options
ChartPrimaryVerticalGridlines	1	gallery	Primary Vertical Gridlines	1	gallery	Primary Vertical Gridlines
ChartPrimaryVerticalGridlinesOptionsDialog	1	button	More Primary Vertical Gridlines Options	1	button	More Primary Vertical Gridlines Options
ChartPropertiesInTooltips	1	menu	Show properties in tooltips	1	menu	Show properties in tooltips
ChartQuickExplore	0			1	button	Quick Explore
ChartResetToMatchStyle	1	button	Reset to Match Style	1	button	Reset to Match Style
ChartSaveTemplates	1	button	Save As Template	1	button	Save as Template
ChartSecondaryHorizontalAxis	1	gallery	Secondary Horizontal Axis	1	gallery	Secondary Horizontal Axis
ChartSecondaryHorizontalAxisOption	1	button	More Secondary Horizontal Axis Options	1	button	More Secondary Horizontal Axis Options
ChartSecondaryHorizontalAxisTitle	1	gallery	Secondary Horizontal Axis Title	1	gallery	Secondary Horizontal Axis Title
ChartSecondaryHorizontalAxisTitleOptionsDialog	1	button	More Secondary Horizontal Axis Title Options	1	button	More Secondary Horizontal Axis Title Options
ChartSecondaryHorizontalGridlines	1	gallery	Secondary Horizontal Gridlines	1	gallery	Secondary Horizontal Gridlines
ChartSecondaryHorizontalGridlinesOptionsDialog	1	button	More Secondary Horizontal Gridlines Options	1	button	More Secondary Horizontal Gridlines Options
ChartSecondaryVerticalAxis	1	gallery	Secondary Vertical Axis	1	gallery	Secondary Vertical Axis
ChartSecondaryVerticalAxisOptionsDialog	1	button	More Secondary Vertical Axis Options	1	button	More Secondary Vertical Axis Options
ChartSecondaryVerticalAxisTitle	1	gallery	Secondary Vertical Axis Title	1	gallery	Secondary Vertical Axis Title
ChartSecondaryVerticalAxisTitleOptionsDialog	1	button	More Secondary Vertical Axis Title Options	1	button	More Secondary Vertical Axis Title Options
ChartSecondaryVerticalGridlines	1	gallery	Secondary Vertical Gridlines	1	gallery	Secondary Vertical Gridlines
ChartSecondaryVerticalGridlinesOptionsDialog	1	button	More Secondary Vertical Gridlines Options	1	button	More Secondary Vertical Gridlines Options
ChartSeriesTypeChange	1	button	Change Series Chart Type	1	button	Change Series Chart Type
ChartShowBigPicture	1	button		1	button	Show Big Picture
ChartShowDataContextualMenu	1	button	Edit Data	1	button	Edit Data in Excel 2013
ChartShowDataGrid	0			1	button	Edit Data
ChartShowHideLevelsMenu	1	menu	Show/Hide Levels	1	menu	Show/Hide Levels
ChartSketchItem	1	toggleButton	Draft Mode	0		
ChartSketchModeForAll	1	button	Apply Draft Mode to all charts	0		
ChartSourceDataContextualMenu	1	button	Select Data	1	button	Select Data
ChartStylesGallery	1	gallery	Quick Styles	1	gallery	Quick Styles
ChartSwitchRowColumn	1	button	Switch Row/Column	1	button	Switch Row/Column
ChartTitle	1	gallery	Chart Title	1	gallery	Chart Title
ChartTitleOptionsDialog	1	button	More Title Options	1	button	More Title Options
ChartTrendline	1	gallery	Trendline	1	gallery	Trendline
ChartTrendlineAdd	1	button	Add Trendline	1	button	Add Trendline
ChartTrendlineOptionsDialog	1	button	More Trendline Options	1	button	More Trendline Options
ChartTurnOffSketchMode	1	button	Turn off Draft Mode	0		
ChartTypeAllInsertDialog	1	button	All Chart Types	1	button	All Chart Types
ChartTypeAreaInsertDialog	0			1	button	More Area Charts
ChartTypeAreaInsertGallery	1	gallery	Area	1	gallery	Insert Area Chart
ChartTypeBarInsertDialog	0			1	button	More Bar Charts
ChartTypeBarInsertGallery	1	gallery	Bar	1	gallery	Insert Bar Chart
ChartTypeColumnInsertDialog	0			1	button	More Column Charts
ChartTypeColumnInsertGallery	1	gallery	Column	1	gallery	Insert Column Chart
ChartTypeComboInsertDialog	0			1	button	Create Custom Combo Chart
ChartTypeComboInsertGallery	0			1	gallery	Insert Combo Chart
ChartTypeLineInsertDialog	0			1	button	More Line Charts
ChartTypeLineInsertGallery	1	gallery	Line	1	gallery	Insert Line Chart
ChartTypeOtherInsertDialog	0			1	button	More Charts
ChartTypeOtherInsertGallery	1	gallery	Other Charts	1	gallery	"Insert Stock, Surface or Radar Chart"
ChartTypePieInsertDialog	0			1	button	More Pie Charts
ChartTypePieInsertGallery	1	gallery	Pie	1	gallery	Insert Pie or Doughnut Chart
ChartTypeScatterInsertDialog	0			1	button	More Scatter Charts
